cluster_id,centroid_lat,centroid_lon,num_trips,color_rgb,color_hex,colormap,cluster_type
0,6.25932011125216,-75.5799599247168,3125,"rgb(68, 1, 84)",#440154,viridis,origin
1,6.200264717594117,-75.55977515164707,170,"rgb(70, 14, 97)",#460e61,viridis,origin
2,6.239407569458334,-75.54374491541667,24,"rgb(72, 28, 110)",#481c6e,viridis,origin
3,6.231594488631579,-75.5317688536842,19,"rgb(71, 40, 120)",#472878,viridis,origin
4,6.248455545538461,-75.54063542923076,13,"rgb(69, 53, 128)",#453580,viridis,origin
5,6.238970266615384,-75.53086351153847,13,"rgb(65, 65, 134)",#414186,viridis,origin
6,6.228386275199999,-75.540415934,15,"rgb(61, 76, 137)",#3d4c89,viridis,origin
7,6.231568258499999,-75.52459401357144,14,"rgb(56, 86, 139)",#38568b,viridis,origin
8,6.181611146,-75.570857695,16,"rgb(51, 96, 141)",#33608d,viridis,origin
100,6.245058505235294,-75.57500181,17,"rgb(47, 106, 141)",#2f6a8d,viridis,origin
101,6.254709527742857,-75.56572299285713,35,"rgb(43, 116, 142)",#2b748e,viridis,origin
102,6.250945739137931,-75.56121007586206,29,"rgb(39, 125, 142)",#277d8e,viridis,origin
103,6.230831272527777,-75.56985037999999,36,"rgb(35, 135, 141)",#23878d,viridis,origin
104,6.237538360076924,-75.56392916,13,"rgb(32, 144, 140)",#20908c,viridis,origin
105,6.262936094071427,-75.58874962428571,14,"rgb(30, 153, 138)",#1e998a,viridis,origin
106,6.26028719105,-75.566329174,20,"rgb(31, 162, 134)",#1fa286,viridis,origin
107,6.235421480724138,-75.5733682986207,29,"rgb(37, 171, 129)",#25ab81,viridis,origin
108,6.246246001944445,-75.56796647611111,18,"rgb(48, 180, 122)",#30b47a,viridis,origin
109,6.261551763428573,-75.57204513476191,21,"rgb(64, 189, 114)",#40bd72,viridis,origin
110,6.249032070818183,-75.55606355409091,22,"rgb(83, 197, 103)",#53c567,viridis,origin
111,6.253828352,-75.560256952,5,"rgb(103, 204, 92)",#67cc5c,viridis,origin
112,6.23613427,-75.56674758416666,12,"rgb(126, 210, 78)",#7ed24e,viridis,origin
113,6.254386958461539,-75.57493846384615,13,"rgb(151, 216, 62)",#97d83e,viridis,origin
114,6.2524436225,-75.600816317,10,"rgb(178, 221, 44)",#b2dd2c,viridis,origin
115,6.251841427933333,-75.57632656066667,15,"rgb(205, 224, 29)",#cde01d,viridis,origin
116,6.257632525285714,-75.56945259142857,7,"rgb(231, 228, 25)",#e7e419,viridis,origin
117,6.226498908,-75.56624392900001,10,"rgb(253, 231, 36)",#fde724,viridis,origin
-1,6.25332347857529,-75.60047536596525,518,"rgb(128, 128, 128)",#808080,gray,origin
